activation,init,lr,lr_reg,opt,reg,units1,loss
linear, random_uniform, 0.01, 0.0001, SGD, l2, 64, 39.0026
linear, random_normal, 0.001, 0.01, Adamgrad, l2, 128, 91.1082
relu, random_uniform, 0.0001, 0.001, SGD, l1, 128, 91.1082
linear, random_normal, 0.01, 0.01, SGD, l2, 128, 52.7609
relu, random_uniform, 0.0001, 0.01, SGD, l1l2, 32, 91.1082
linear, random_normal, 0.0001, 1e-05, RMSprop, l1l2, 128, 55.6209
relu, random_normal, 0.01, 1e-05, SGD, l1l2, 128, 54.627
linear, random_normal, 0.001, 0.01, RMSprop, l2, 128, 44.2801
relu, random_uniform, 0.001, 0.001, RMSprop, l1, 64, 47.0478
relu, random_normal, 0.001, 0.01, RMSprop, l1l2, 32, 91.1082
linear, random_normal, 0.001, 1e-05, SGD, l1, 32, 59.1501
linear, random_normal, 0.001, 0.001, Adamgrad, l2, 32, 91.1082
relu, random_uniform, 0.01, 1e-05, Adamgrad, l2, 128, 59.1028
linear, random_uniform, 0.01, 0.0001, SGD, l1l2, 128, 56.6033
relu, random_uniform, 0.0001, 0.0001, Adamgrad, l2, 64, 91.1082
linear, random_uniform, 0.01, 1e-05, SGD, l1, 128, 38.7779
linear, random_uniform, 0.0001, 0.01, Adam, l1l2, 64, 91.1082
linear, random_normal, 0.001, 1e-05, Adamgrad, l1, 64, 91.1082
relu, random_uniform, 0.01, 1e-05, Adamgrad, l2, 128, 58.9872
linear, random_uniform, 0.01, 1e-05, Adam, l1, 32, 90.7012
linear, random_uniform, 0.01, 0.0001, SGD, l1, 64, 39.4039
linear, random_uniform, 0.01, 0.0001, SGD, l1, 64, 40.0979
linear, random_uniform, 0.01, 0.0001, SGD, l1, 64, 39.0483
linear, random_uniform, 0.01, 0.0001, Adam, l2, 64, 65.579
linear, random_uniform, 0.01, 0.0001, SGD, l1, 64, 39.1041
linear, random_uniform, 0.01, 0.001, SGD, l2, 128, 38.1782
linear, random_uniform, 0.01, 0.001, Adam, l2, 128, 59.23
linear, random_uniform, 0.01, 0.001, SGD, l1, 128, 57.9369
linear, random_uniform, 0.01, 0.001, SGD, l2, 128, 39.1652
linear, random_uniform, 0.01, 0.001, SGD, l1, 128, 54.2969
linear, random_uniform, 0.01, 0.001, SGD, l2, 128, 41.2594
linear, random_uniform, 0.0001, 1e-05, SGD, l2, 128, 91.1082
linear, random_uniform, 0.01, 0.001, RMSprop, l1, 128, 42.2541
linear, random_uniform, 0.01, 1e-05, SGD, l2, 128, 38.1117
linear, random_uniform, 0.0001, 0.001, Adam, l2, 128, 91.1082
relu, random_uniform, 0.01, 1e-05, SGD, l2, 128, 37.5388
relu, random_normal, 0.01, 1e-05, SGD, l2, 32, 37.7351
relu, random_normal, 0.0001, 1e-05, RMSprop, l2, 32, 56.5249
relu, random_normal, 0.001, 1e-05, SGD, l2, 32, 84.6572
relu, random_normal, 0.01, 1e-05, RMSprop, l1l2, 32, 55.2805
relu, random_normal, 0.001, 0.01, SGD, l2, 32, 90.9874
relu, random_normal, 0.01, 1e-05, Adamgrad, l2, 32, 84.547
relu, random_normal, 0.0001, 1e-05, SGD, l1l2, 32, 91.1082
relu, random_normal, 0.01, 0.01, RMSprop, l2, 32, 53.4159
relu, random_normal, 0.001, 1e-05, Adam, l2, 32, 91.1082
relu, random_normal, 0.01, 1e-05, SGD, l1l2, 32, 56.405
relu, random_normal, 0.0001, 1e-05, Adamgrad, l2, 32, 91.1082
relu, random_normal, 0.001, 0.01, SGD, l2, 32, 90.8273
relu, random_normal, 0.01, 1e-05, RMSprop, l1l2, 32, 49.8946
relu, random_normal, 0.01, 1e-05, Adamgrad, l2, 128, 59.0421
relu, random_normal, 0.0001, 1e-05, SGD, l2, 32, 91.1082
relu, random_normal, 0.001, 0.01, Adam, l2, 128, 91.1082
relu, random_normal, 0.01, 1e-05, SGD, l1l2, 64, 55.8125
relu, random_normal, 0.01, 1e-05, SGD, l2, 32, 38.0298
relu, random_uniform, 0.01, 0.0001, Adamgrad, l2, 128, 58.9448
relu, random_uniform, 0.01, 0.01, SGD, l1l2, 64, 91.1082
relu, random_normal, 0.001, 1e-05, Adam, l2, 128, 91.1082
relu, random_uniform, 0.0001, 0.0001, RMSprop, l2, 32, 58.8054
relu, random_uniform, 0.01, 1e-05, SGD, l2, 64, 37.0951
relu, random_uniform, 0.01, 1e-05, SGD, l1l2, 64, 59.5611
relu, random_uniform, 0.01, 0.01, Adamgrad, l2, 64, 91.1044
relu, random_uniform, 0.001, 0.0001, SGD, l1, 64, 91.0811
relu, random_uniform, 0.01, 1e-05, Adam, l2, 64, 90.8641
relu, random_uniform, 0.0001, 1e-05, SGD, l1, 64, 91.1082
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 34.4668
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 35.3117
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 34.7525
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 35.8137
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 35.9963
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 36.4369
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 35.0125
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 34.5617
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 33.6263
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 36.2151
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 35.0157
relu, random_uniform, 0.01, 0.0001, RMSprop, l1, 64, 33.6648
relu, random_uniform, 0.01, 0.0001, RMSprop, l1, 64, 32.5407
relu, random_uniform, 0.01, 0.0001, RMSprop, l1, 64, 35.3535
relu, random_uniform, 0.0001, 0.0001, RMSprop, l1, 64, 52.7655
relu, random_uniform, 0.001, 0.0001, RMSprop, l1, 64, 36.394
