activation,init,lr,lr_reg,opt,reg,units1,loss
relu, random_normal, 0.01, 0.01, SGD, l1, 64, 99.5001
relu, random_uniform, 0.001, 0.001, Adam, l1, 64, 96.7826
linear, random_uniform, 0.0001, 1e-05, SGD, l1, 64, 86.7896
relu, random_uniform, 0.001, 0.0001, RMSprop, l1, 64, 11.1724
relu, random_uniform, 0.001, 1e-05, RMSprop, l1, 32, 10.6857
linear, random_uniform, 0.01, 0.01, RMSprop, l1l2, 64, 97.9214
linear, random_normal, 0.001, 1e-05, SGD, l1, 64, 12.312
relu, random_uniform, 0.001, 1e-05, SGD, l1, 32, 16.6312
linear, random_uniform, 0.0001, 0.0001, Adam, l2, 32, 99.0484
linear, random_uniform, 0.01, 0.01, SGD, l1l2, 64, 99.5001
linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.583
relu, random_uniform, 0.001, 0.001, Adamgrad, l1l2, 128, 80.2364
linear, random_uniform, 0.01, 1e-05, Adamgrad, l2, 64, 12.8297
relu, random_uniform, 0.001, 0.001, SGD, l1l2, 32, 93.4579
relu, random_uniform, 0.01, 0.0001, RMSprop, l1, 32, 15.0816
linear, random_uniform, 0.01, 1e-05, Adamgrad, l1l2, 64, 40.4278
relu, random_normal, 0.0001, 0.01, SGD, l1l2, 64, 98.4717
linear, random_uniform, 0.001, 0.01, Adam, l2, 64, 78.6084
linear, random_uniform, 0.01, 0.001, RMSprop, l1l2, 128, 28.9656
relu, random_normal, 0.001, 0.01, SGD, l2, 128, 18.7667
linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.5948
linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.6854
linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.7887
linear, random_normal, 0.0001, 1e-05, RMSprop, l1, 32, 11.4261
linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.4654
linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.6112
linear, random_normal, 0.001, 0.0001, RMSprop, l1, 32, 10.9354
linear, random_normal, 0.0001, 1e-05, Adam, l2, 128, 98.0297
linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.7795
linear, random_normal, 0.001, 1e-05, Adamgrad, l1, 32, 66.8586
linear, random_normal, 0.001, 0.001, RMSprop, l1, 32, 12.847
linear, random_normal, 0.0001, 1e-05, Adam, l1, 128, 99.1363
linear, random_normal, 0.001, 0.0001, RMSprop, l1, 32, 10.8044
linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.765
linear, random_normal, 0.001, 0.001, Adamgrad, l1, 32, 83.1896
linear, random_normal, 0.0001, 1e-05, RMSprop, l2, 32, 11.0625
linear, random_normal, 0.001, 0.0001, Adam, l1, 128, 31.2647
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.5249
relu, random_normal, 0.01, 0.01, RMSprop, l1, 32, 99.5007
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.8114
relu, random_normal, 0.0001, 1e-05, Adam, l2, 32, 99.4303
relu, random_normal, 0.001, 0.0001, Adamgrad, l1, 128, 39.2888
relu, random_normal, 0.01, 0.001, SGD, l1l2, 64, 20.1181
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.5791
relu, random_normal, 0.001, 0.01, RMSprop, l2, 32, 14.0324
relu, random_normal, 0.01, 1e-05, SGD, l1l2, 64, 16.3939
relu, random_uniform, 0.001, 1e-05, Adamgrad, l1, 32, 95.8909
relu, random_normal, 0.0001, 0.001, RMSprop, l1, 128, 13.6643
relu, random_uniform, 0.001, 0.0001, Adam, l1l2, 64, 95.519
relu, random_normal, 0.01, 0.01, SGD, l2, 32, 16.5911
relu, random_uniform, 0.001, 1e-05, RMSprop, l1, 32, 10.8044
relu, random_normal, 0.001, 1e-05, Adamgrad, l1l2, 64, 89.9071
relu, random_normal, 0.0001, 0.01, RMSprop, l1, 32, 99.4995
relu, random_uniform, 0.01, 0.001, RMSprop, l1, 128, 19.2152
linear, random_normal, 0.001, 1e-05, SGD, l2, 32, 12.9541
relu, random_normal, 0.001, 0.0001, Adam, l1l2, 64, 73.2096
linear, random_uniform, 0.001, 1e-05, RMSprop, l1, 32, 10.6318
