activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
relu, 0.3, random_uniform, 0.01, 0.001, 2, Adamgrad, l1, 64, 99.4989
relu, 0.7, random_uniform, 0.01, 1e-05, 2, SGD, l2, 128, 93.639
linear, 0, random_normal, 0.0001, 0.001, 4, SGD, l1, 64, 99.4524
relu, 0.1, random_normal, 0.001, 0.0001, 1, Adam, l1, 128, 65.6917
linear, 0.7, random_normal, 0.01, 0.01, 4, Adam, l1, 64, 99.4989
linear, 0, random_normal, 0.001, 0.0001, 1, Adam, l1l2, 128, 47.4499
relu, 0.3, random_normal, 0.01, 0.001, 4, SGD, l1l2, 32, 99.4989
linear, 0.1, random_normal, 0.0001, 0.001, 1, Adamgrad, l1, 64, 98.3094
linear, 0, random_normal, 0.01, 0.01, 4, Adam, l2, 32, 99.4989
relu, 0.3, random_uniform, 0.001, 1e-05, 4, RMSprop, l2, 32, 84.7336
relu, 0.5, random_uniform, 0.0001, 0.0001, 2, Adamgrad, l1l2, 64, 99.3389
relu, 0.3, random_normal, 0.001, 0.0001, 4, RMSprop, l2, 32, 87.3902
relu, 0.5, random_normal, 0.01, 0.001, 4, SGD, l1l2, 128, 99.4989
linear, 0.1, random_normal, 0.01, 0.001, 2, SGD, l2, 128, 14.3933
linear, 0.3, random_normal, 0.0001, 0.001, 2, SGD, l1, 128, 71.6316
linear, 0, random_uniform, 0.001, 0.01, 4, SGD, l1, 128, 99.4989
linear, 0.1, random_normal, 0.001, 0.001, 4, RMSprop, l1, 32, 99.4989
linear, 0.5, random_uniform, 0.0001, 0.0001, 2, Adam, l1, 128, 99.0063
linear, 0.1, random_normal, 0.01, 0.001, 4, Adamgrad, l1, 64, 99.4989
relu, 0.7, random_uniform, 0.001, 0.0001, 4, Adamgrad, l1l2, 128, 99.4989
linear, 0, random_normal, 0.001, 1e-05, 1, Adam, l2, 128, 32.3078
linear, 0, random_normal, 0.001, 1e-05, 1, Adam, l2, 128, 32.2901
linear, 0.1, random_normal, 0.01, 1e-05, 1, Adam, l2, 128, 12.2432
linear, 0.1, random_normal, 0.01, 1e-05, 1, SGD, l2, 128, 11.7338
linear, 0.1, random_normal, 0.01, 1e-05, 1, Adam, l2, 128, 12.3356
linear, 0.1, random_normal, 0.01, 1e-05, 1, RMSprop, l2, 128, 18.0635
linear, 0.1, random_normal, 0.01, 1e-05, 1, SGD, l2, 128, 12.0642
linear, 0.1, random_normal, 0.01, 1e-05, 1, SGD, l2, 128, 12.594
linear, 0.1, random_normal, 0.01, 1e-05, 1, SGD, l2, 128, 12.2792
linear, 0.1, random_normal, 0.01, 1e-05, 1, SGD, l2, 128, 12.0248
linear, 0.7, random_uniform, 0.01, 1e-05, 1, SGD, l2, 128, 12.0814
linear, 0.5, random_normal, 0.01, 1e-05, 1, SGD, l2, 64, 11.6074
linear, 0.5, random_uniform, 0.01, 0.01, 1, SGD, l2, 64, 99.4983
linear, 0.5, random_normal, 0.01, 1e-05, 1, SGD, l2, 64, 12.2566
linear, 0.5, random_normal, 0.01, 1e-05, 1, SGD, l2, 64, 12.1306
relu, 0.5, random_normal, 0.0001, 0.01, 2, SGD, l1l2, 64, 99.4989
linear, 0.7, random_normal, 0.01, 1e-05, 1, Adamgrad, l2, 64, 14.4203
linear, 0.5, random_normal, 0.0001, 1e-05, 1, RMSprop, l1l2, 64, 80.7726
relu, 0.5, random_uniform, 0.01, 0.01, 1, SGD, l2, 64, 99.5013
linear, 0.3, random_normal, 0.01, 1e-05, 2, SGD, l2, 32, 15.3941
linear, 0.7, random_normal, 0.01, 0.0001, 1, Adamgrad, l1l2, 64, 90.5472
relu, 0.5, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 32, 23.3893
linear, 0.3, random_uniform, 0.01, 0.01, 1, SGD, l2, 64, 99.4995
relu, 0, random_normal, 0.01, 1e-05, 2, SGD, l1, 64, 14.2901
linear, 0.5, random_normal, 0.0001, 0.0001, 1, SGD, l1l2, 32, 97.1248
linear, 0.7, random_normal, 0.01, 1e-05, 2, Adamgrad, l2, 64, 48.3182
relu, 0.3, random_uniform, 0.001, 0.001, 1, RMSprop, l1, 32, 99.4989
linear, 0.1, random_normal, 0.01, 0.01, 4, SGD, l2, 64, 99.4995
linear, 0.5, random_normal, 0.0001, 0.0001, 1, SGD, l1l2, 32, 98.0425
relu, 0, random_uniform, 0.01, 0.001, 2, Adamgrad, l2, 64, 99.4989
linear, 0.1, random_normal, 0.001, 1e-05, 4, Adam, l1, 128, 99.2637
linear, 0.3, random_normal, 0.01, 1e-05, 1, RMSprop, l2, 64, 15.6751
linear, 0.5, random_normal, 0.001, 0.001, 1, SGD, l1, 128, 67.9322
relu, 0, random_uniform, 0.0001, 0.0001, 4, SGD, l2, 32, 99.4989
linear, 0.1, random_normal, 0.01, 1e-05, 2, Adam, l1l2, 128, 92.9326
linear, 0.7, random_normal, 0.01, 0.01, 1, Adamgrad, l2, 64, 84.0663
linear, 0.1, random_normal, 0.001, 1e-05, 4, SGD, l2, 128, 18.8612
relu, 0.5, random_uniform, 0.01, 0.001, 1, RMSprop, l1, 128, 99.5001
linear, 0.3, random_normal, 0.01, 1e-05, 1, Adam, l2, 64, 12.9797
linear, 0.1, random_normal, 0.0001, 0.0001, 1, SGD, l1l2, 128, 44.4716
linear, 0, random_normal, 0.01, 1e-05, 2, SGD, l2, 32, 14.6865
linear, 0.5, random_uniform, 0.001, 1e-05, 4, SGD, l2, 128, 99.4989
relu, 0.1, random_normal, 0.01, 0.01, 1, Adamgrad, l1, 64, 99.4989
linear, 0.7, random_normal, 0.01, 0.001, 1, Adam, l2, 128, 12.8175
linear, 0.1, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 64, 11.3919
linear, 0.1, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 64, 11.4793
linear, 0.1, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 64, 11.3966
linear, 0.1, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 64, 11.387
linear, 0.1, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 64, 11.5374
linear, 0.1, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 64, 11.5511
linear, 0.1, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 64, 11.5054
linear, 0.1, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 64, 11.5008
linear, 0.1, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 64, 11.3245
linear, 0.1, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 64, 11.5001
linear, 0.1, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 64, 11.6416
linear, 0.1, random_normal, 0.0001, 0.0001, 1, RMSprop, l2, 64, 11.5387
linear, 0.1, random_normal, 0.0001, 1e-05, 4, RMSprop, l1l2, 64, 99.4989
linear, 0.1, random_normal, 0.0001, 1e-05, 2, RMSprop, l2, 64, 12.6029
linear, 0.1, random_uniform, 0.0001, 0.01, 1, RMSprop, l2, 64, 99.5001
linear, 0.1, random_normal, 0.0001, 1e-05, 1, RMSprop, l1, 64, 11.3385
