activation,init,lr,lr_reg,opt,reg,units1,loss
linear, random_normal, 0.0001, 0.01, SGD, l1, 32, 91.1091
relu, random_normal, 0.001, 1e-05, Adamgrad, l2, 128, 91.1091
relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 35.9113
relu, random_uniform, 0.001, 0.0001, SGD, l1l2, 32, 91.1091
linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 36.9553
relu, random_normal, 0.01, 1e-05, Adam, l1l2, 128, 59.9391
linear, random_uniform, 0.0001, 0.01, SGD, l1l2, 64, 91.1091
linear, random_normal, 0.01, 0.0001, Adam, l1l2, 128, 60.4845
relu, random_normal, 0.01, 0.001, Adamgrad, l1, 64, 66.2768
linear, random_normal, 0.01, 0.01, Adam, l2, 64, 60.3064
relu, random_uniform, 0.001, 0.001, SGD, l2, 128, 58.9235
linear, random_normal, 0.001, 0.0001, Adam, l1, 128, 91.1091
linear, random_uniform, 0.001, 0.01, RMSprop, l1l2, 64, 91.1091
linear, random_normal, 0.01, 1e-05, SGD, l1, 64, 38.4234
relu, random_uniform, 0.01, 0.01, SGD, l2, 64, 60.0316
relu, random_normal, 0.001, 0.0001, RMSprop, l1, 32, 37.1975
relu, random_normal, 0.001, 0.001, RMSprop, l1, 32, 51.2392
linear, random_normal, 0.001, 0.0001, RMSprop, l2, 32, 35.9919
relu, random_normal, 0.01, 0.0001, RMSprop, l2, 32, 37.1845
linear, random_normal, 0.0001, 0.0001, Adamgrad, l2, 32, 91.1091
relu, random_normal, 0.01, 0.0001, RMSprop, l2, 128, 36.8747
relu, random_normal, 0.001, 0.0001, Adamgrad, l2, 128, 91.1091
linear, random_normal, 0.001, 0.0001, RMSprop, l2, 32, 36.9136
relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 38.1744
linear, random_normal, 0.01, 0.0001, RMSprop, l2, 32, 37.0214
relu, random_normal, 0.01, 0.001, SGD, l2, 32, 38.7
linear, random_normal, 0.001, 0.0001, SGD, l2, 128, 58.599
relu, random_normal, 0.0001, 0.0001, RMSprop, l2, 32, 60.9657
linear, random_uniform, 0.01, 0.0001, Adamgrad, l2, 128, 58.6449
linear, random_normal, 0.0001, 0.001, SGD, l2, 128, 91.1091
relu, random_normal, 0.001, 1e-05, RMSprop, l2, 32, 36.4803
linear, random_uniform, 0.001, 0.0001, SGD, l2, 128, 58.6852
relu, random_normal, 0.0001, 0.0001, Adam, l2, 32, 91.1091
linear, random_normal, 0.01, 1e-05, RMSprop, l1l2, 128, 49.1895
relu, random_uniform, 0.001, 0.0001, Adamgrad, l2, 32, 91.1091
linear, random_normal, 0.0001, 0.01, SGD, l1l2, 128, 91.1091
relu, random_normal, 0.01, 0.0001, RMSprop, l2, 32, 38.2065
linear, random_normal, 0.001, 1e-05, Adam, l1, 64, 91.1091
relu, random_uniform, 0.01, 0.001, SGD, l1l2, 128, 60.0821
linear, random_normal, 0.001, 0.0001, Adamgrad, l2, 32, 91.1091
relu, random_normal, 0.0001, 0.01, SGD, l2, 128, 91.1091
linear, random_uniform, 0.01, 0.0001, Adam, l1l2, 64, 84.5588
linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 35.7661
relu, random_normal, 0.01, 1e-05, SGD, l1, 128, 36.7116
linear, random_uniform, 0.001, 1e-05, RMSprop, l1, 64, 35.7952
linear, random_uniform, 0.001, 1e-05, RMSprop, l1, 64, 34.601
linear, random_uniform, 0.001, 1e-05, RMSprop, l1, 64, 35.3923
linear, random_uniform, 0.001, 1e-05, RMSprop, l1, 64, 35.7718
linear, random_uniform, 0.001, 1e-05, RMSprop, l1, 64, 36.5357
linear, random_uniform, 0.001, 1e-05, RMSprop, l1, 64, 35.483
